key,en,es,comment
really_delete_upload_logs,Really delete upload logs?,¿Eliminar realmente los registros de carga?,
refuse_to_answer,Refuse,Se niega/NQR,
register_device,Register Device,Registrar Dispositivo,
registering_device,Registering Device...,Registrando dispositivo...,
remove_confirm,Really remove {0}?,¿Eliminar realmente {0}?,
remove_photo_confirm,Really remove photo?,¿Eliminar realmente la foto?,
repeat_section,Repeat Section,Repetir la sección,
reset_sync,Reset Sync,Restablecer Sincronización,
respondent,Respondent,Encuestado,
respondent_conditions,Respondent Conditions,Condiciones de los encuestados,
respondent_photo,Respondent Photo,Foto de encuestado,
respondent_picture_no_permissions,Trellis is unable to display respondent photos without your permission to access the device storage. You are able to grant this in the system settings page.,Trellis no puede mostrar fotos de los encuestados sin su permiso para acceder el almacenamiento del dispositivo. Usted puede dar este permisio en la página de configuración del sistema.,
respondents,Respondents,Encuestados,
respondents_deleted,Respondents Deleted!,¡Los encuestados han sido eliminados!,
restricted,Restricted,Restringido,
save,Save,Guardar,
saving_data,Saving Data...,Guardando datos ...,
search,Search,Buscar,
search_hint,Type Search Term...,Ingrese Término de Búsqueda...,
second,second,segundo,
seconds,seconds,segundos,
section_conditions,Section Conditions,Condiciones de las secciones,
select_date,Select Date,Seleccionar Fecha,
select_dateTime,Select Date/Time,Seleccionar Fecha/Hora,
select_study,Select Study,Seleccionar Estudio,
select_time,Select Time,Seleccionar Hora,
select_to_edit,Select to edit,Seleccionar para editar,
selected_locale,Selected locale = {0},Localidad seleccionada = {0},
server_busy,Server Busy,Servidor ocupado,
server_device_not_found,"The device was not found on the server, please see an administrator for a resolution.","El dispositivo no se encontró en el servidor, consulte a un administrador para su resolución.",
server_generating_snapshot,The server is currently generating a new snapshot. Please try again in a few minutes.. there is no need for a download.,El servidor actualmente está generando una nueva captura. Inténtalo de nuevo en unos minutos...,
server_ip_address,Server URL or IP Address:,URL del servidor o dirección IP:,
service_not_found,Service not found.,Servicio no encontrado.,
set_default,set default,asignar configuracion original,
show_all,Show All,Mostrar Todo,
show_conditions,Show Conditions,Mostrar condiciones,
show_locale,Show Locale,Mostrar configuración regional,
sqliteexception_insertion_failure,SQLiteException: insertion failure,SQLiteException: falla de inserción,
study_doesnt_allow_adding_respondents,"The study \""{0}\"" doesn\'t allow adding respondents.","El estudio \""{0}\"" no permite agregar encuestados.",
successful,Successful,Exitoso,
survey_exit_title,Exiting Survey,Saliendo del formulario de encuesta,
survey_message_exit,Are you sure you want to exit the survey?,¿Esta seguro/a que quiere salir de del formulario?,
survey_message_end,You are at the end of the survey,Usted está al final del formulario.,
survey_message_beginning,You are at the beginning of the survey,Usted está al comienzo del formulario.,
survey_message_lock,This survey will be locked to prevent changes.,Esto cerrará el formulario para prevenir cambios.,
sync_currently_active,Sync is currently active. Please wait for it to finish.,La sincronización está actualmente activa. Espere a que termine.,
sync_in_progress,Sync in progress,Sincronización en curso,
sync,Sync,Sincronización,
testmode,Restart in test mode,Reiniciar en modo de prueba,
title_activity_questions,Questions,Preguntas,
title_activity_send_log,Send Log,Enviar Registro,
trellis_logo,Trellis Logo,Trellis Logo,
unable_to_download,Unable to Download,No se puede descargar,
unable_to_run_form_no_sections_defined,Unable to run form,"No se puede ejecutar el formulario, no hay secciones definidas.",
unable_to_upload,Unable to Upload,No se pudo subir,
update_location_denied,Trellis is unable to use GPS data for interviews without your permission,Trellis no puede usar datos GPS para entrevistas sin su permiso,
update_location_rationale,In order to properly grab GPS data for interviews Trellis requires your permission to access your location data.,"Para capturar correctamente los datos GPS para las entrevistas, Trellis requiere su permiso para acceder a sus datos de ubicación.",
updated_records_must_upload,You have updated records that have not been uploaded yet. Please upload before proceeding to download to prevent loss of data.,Has actualizado los registros que aún no se han cargado. Carga antes de proceder a la descarga para evitar pérdida de datos.,
upload_logs_deleted,Upload logs deleted,Registros de carga han sido eliminados,
uploading,Uploading,Cargando,
username,Username,Usuario,
validate,Validate no geo types have been defined for the current study. Please see an administrator.,Validar,
value_must_be_between_min_max,Value must be between {0} and {1},El valor debe ser entre {0} y {1},
value_must_be_greater_than_min,Value must be greater than or equal to {0},El valor debe ser mayor o igual que {0},
value_must_be_less_than_max,Value must be less than or equal to {0},El valor debe ser menor o igual que {0},
verifying_ip,Verifying IP...,Verificando IP...,
verifying_password,Verifying Password,Verificación de contraseña,
view,view,ver,
viewdeviceid,View Device ID,Ver ID de Dispositivo,
warning,Warning please see an administrator for resolution.,Advertencia,
wrong_deviceid,Wrong deviceId!,¡Dispositivo incorrecto!,
wrong_filename,Wrong filename!,Nombre de archivo incorrecto,
xgeosfound,{0} locations,{0} localidad,
xphotosfound,{0} Photos are you still at that location?,{0} Fotos,
xrespondentsfound,{0} relations,{0} relaciones,
xrosterfound,{0} people in roster,{0} personas en la lista,
year,year,año,
years,years,años,
yes,Yes please free up some space and try again.,Sí,
you_have_latest_database_snapshot,You have the latest database snapshot version,"Tiene la última versión de la captura de la base de datos, no hay necesidad de una descarga.",
general,General,General,Category
add_locations,Add locations,Añadir Localidad,
select_language,Select Language,Seleccionar Idioma,
select_study,Select Study,Seleccionar Estudio,
conditions,Conditions,Condiciones,
no_snapshot_found_local,No download found.,Descarga no encontrada,
snapshots,Snapshots,Captura,
generate_snapshot,Generate snapshot,Generar captura,
uploads,Uploads,Cargas subidas,
process_uploads,Process Uploads,Procesar cargas,
unable_to_establish_connection,Unable to establish a connection with the server at {0},No se pudo establecer una conexion con el servidor en {0},
connecting,Connecting,Conectando,
inserting,Inserting,Insertando,
images,Images,Imagenes,
requested_images_found_images,Requested {0} images and the server only found {1}.,Se solicitaron {0} imagenes y el servidor solo encontro {1}.,
images_require_space,The images require {0} to download and the device only has {1} free.,Las imagenes requieren {0} para bajar y el dispositivo solo tiene {1} libre.,
snapshot_requires_space,The snapshot is {0} and this device only has {1} free.,La captura es de {0} y este dispositivo solo tiene {1} libre.,
extracted_snapshot_requires_space,The extracted snapshot requires ~{0} and this device only has {1} free.,La captura extraida requiere ~{0} y este dispositivo solo tiene {1} libre.,
uploading_images,Uploading images,Subiendo imagenes...,
finding_images,Finding images...,Buscando imagenes...,
requesting_image_list,Requesting image list...,Solicitano la lista de imagenes...,
sync_status,Sync status,Estado de la sincronizacion,
checking_census_form,Checking for census form...,Revisando el formulario del censo...,
no_photos,There are no photos here...,No hay fotos aqui...,
position_unavailable,Position unavailable,Posicion no disponible,
position_timeout,Timed out while retrieving position.,Se acabo el tiempo al buscar la posicion. ,
position_fail_hint,Make sure location services are on and try moving near a window or going outdoors.,Asegurese que los servicios de ubicacion estan encendidos y pruebe moverse cerca de una ventana o afuera. ,
position_success,Your location was accessed successfully,Su ubicacion fue accedida exitosamente,
use_last_position,Use last known position,Usar la ultima ubicacion conocida,
last_known_position,Using last known location of: {0},Usando la ultima ubicacion conocida de: {0},
no_translation,No translation,No hay traduccion ,
move_child_elements,Move child elements to the same position,Mover elementos hijos a la misma posicion,
rename,Rename,Renombrar,
move,Move,Mover,
more_info,More info,Mas informacion,
view_children,View children,Ver hijos,
click_on_the_map,Click on the map where you want to add this location.,Haga click en el mapa en donde desee agregar esta ubicacion,
new_location,New location,Nueva ubicacion,
moving,Moving,Moviendo,
confirm_delete_geo,Are you sure you want to delete this location?,Esta seguro/a que quiere borrar esta ubicacion?,
no_locations_found,No locations found...,No se encontraron ubicaciones...,
searching,Searching...,Buscando...,
position_location,Position location,Ubicacion de posicion,
select_location_type,Select location type,Seleccionar tipo de ubicacion,
use_current_position,Get your current position (GPS),Obtener su posicion actual (GPS),
use_parent_position,Use the parent location's position,Usar la posicion de la ubicacion parental,
current_position,Current position,Posicion actual,
latitude,latitude,latitud,
longitude,longitude,longitud,
altitude,altitude,altitud,
none,None,Ninguno,
unknown_location,Unknown location,Ubicacion desconocida,
select_location,Select location,Seleccionar ubicacion,
location_search,Location search,Busqueda de ubicacion,
add_respondent_name,Add respondent name,Agregar nombre de encuestado,
add_condition_tag,Add condition tag,Agregar etiqueta de condicion,
skip,Skip,Saltar,
census_form_found,Census form was found. Redirecting...,Formulario de Censo encontrado. Redirigiendo...,
census_form_not_found,Census form was not found.,Formulario de Censo no encontrado,
census_forms,Census Forms,Formularios de Censo,
unknown_user,Unknown user,Usuario desconocido,
cant_start_form,Can't start this form from here.,No es posible empezar este formulario desde aqui. ,
cant_create_survey,Can't create a new survey for this form. Please select a survey to resume.,No se puede crear una nueva encuesta para este formulario. Por favor escoja una encuesta para continuar. ,
create_another_survey,A survey has already been started for this form. Would you like to create another one?,Ya se ha comenzado una encuesta para este formulario. Le gustaria crear otra?,
create_survey_failed,Failed to create a new survey: {0},Error al crear una nueva encuesta: {0},
create_interview_failed,Failed to create a new interview: {0},Error al crear una nueva entrevista: {0},
cant_resume_survey,Can't resume a completed survey.,No puede con tinuar una encuesta completa.,
gps_error,Error accessing GPS: {0},Error al accesar el GPS: {0},
select,Select,Seleccionar,
logs,Logs,Logaritmos,
page,Page,Pagina,The current page within the section
repetition,Repetition,Repeticion,The current repetition of the the section
information,Information,Informacion,Menu item
storage,Storage,Almacenaje,Referencing files and database
device,Device,Dispositivo,
status,Status,Estado,
pending,Pending,Pendiente,
last_updated,Last updated,Actualizado por ultima vez,
working,Working,Funcionando,Functioning correctly
uploaded,Uploaded,Subido,A count of entries moved to the server
pending_photos,Pending photos,Fotos pendientes,
pending_rows,Pending rows,Filas pendientes,
db_photos,DB Photos,Fotos en la base de datos,Photos in the database
photos_size,Photos size,Tamaño fotos,Amount of space used by the files
device_photos,Device photos,Fotos en el dispositivo ,Photos actually on device
version,Version,Version,Label for version of the software
server_url,Server URL,URL del servidor,
displaying_first_results,Displaying the first {0} results,Mostrando los primeros {0} resultados,
use_search_field_results,Use the search field above to narrow down the results.,Use el espacio de busqueda arriba para filtrar los resultados,
include_child_locations,Include child locations,,
show_past_residents,Show past residents,Mostrar residentes anteriores,
respondent_search,Respondent Search,Busqueda de participantes,
filters,Filters,Filtros,
db_size,Database size,Tamaño de la base de datos,
config_db_size,Config database size,Configuraro el tamaño de la base de datos,
backup_database,Backup database,Base de datos de apoyo,
backup_success,Database upload completed successfully,Se ha subido la base de datos exitosamente,
backup_failed,Database upload failed,Fallo la subida de la base de datos,
backup_working,Uploading the database...,Subiendo la base de datos...,
documentation,Documentation,Documentacion,
moving_from,Moving from:,Moviendo de:,
moving_to,Moving to:,Moviendo a:,
not_found,Not found,No encontrado,
users,Users,Usuarios,
respondent_name_instructions,Respondent's full name (with nickname),Nombre completo del participante (con sobrenombre),
cannot_undo,This action cannot be undone.,Esta accion no puede ser anulada,
role,Role,Rol,
studies,Studies,Estudios,
actions,Actions,Acciones,Things like edit and delete 
invalid_password_length,Password must be at least {0} characters,La contraseña debe tener al menos {0} caracteres,
passwords_dont_match,Passwords do not match,Las contraseñas no son iguales,
password_updated,Password was updated successfully,La contraseña fue actualizada exitosamente,
change_password,Change password,Cambiar contraseña,
edit_user_title,Editing user {0},Editando el usuario {0},
new_user_title,New user,Nuevo usuario,
new_password,New password,Nueva contraseña,
new_password_repeated,New password again,Vuela a ingresar la nueva contraseña,
logged_in_as,Logged in as {0},Ha iniciadio sesion como {0},
rows_per_page,Rows per page:,Filas por pagina: ,
resource_deleted,Deleted {0},Se ha borrado {0},
resource_updated,Updated {0},Se ha actualizado {0},
resource_created,Created {0},Se ha creado {0},
resource_editing,Editing {0},Editando {0},
failed_resource_update,Failed to update {0},No se pudo actualizar {0},
failed_resource_create,Failed to create {0},No se pudo crear {0},
failed_resource_delete,Failed to remove {0},No se pudo remover {0},
confirm_resource_delete,Remove {0}?,Remover {0}?,
reports,Reports,Reportes,
generate_reports,Create reports,Crear reportes,
download_reports,Download reports,Bajar reportes,
published,Published,Publicados,
battery_saver,Battery Saver,Ahorrador de bateria ,
track_location,Track Location,Rastrear ubicacion,
admin,Admin,Administrador,
no_one,No one,Nadie,
close_all,Close all,Cerrar todos,
default_language,Default language,Idioma automatico,
photo_quality,Photo quality,Calidad de la foto,
languages,Languages,Idiomas,
min_length,Value must be longer than {0},El valor debe ser mas largo que {0},
max_length,Value must be shorter than {0},El valor debe ser mas corto que {0},
resource_is_same,The {0} has not changed,El/la {0} no ha cambiado,"Referring to some resource. e.g. Study, Locale, Device"
devices,Devices,Dispositivos,
geo_types,Location types,Tipos de ubicacion,
resource_creating,Creating new {0},Creando nuevo/a,"New Study, New Locale, New Device, New GeoType"
geo_type,Location type,Tipo de ubicacion,
can_user_create,Respondents can create,Participantes pueden crear,
can_user_add_child,Respondents can add children,Participantes pueden agregar hijos,
can_contain_respondent,Can contain respondents,Puede contener participantes,
demo_alert,This server is for demonstration purposes only! Not for human subjects research.,Este servidor es solo para propositos de demostracion! No es para investigaciones con sujetos humanos,
test_alert,This server is for testing only! Not for data collection.,Este servidor es solamente para realizar pruebas! No es para recoleccion de datos. ,
respondent_fill_tag,Respondents Fills,El participante llena,
mobile_device_id,Mobile device id,Numero de identificacion del dispositivo mobil,
added_by_user,Added by user,Agregado por el usuario,
unregister_device,Unregister device,Dispositivo sin registrar,
confirm_unregister_device,About to unregister device. The device will have to be registered again to sync.,El registro del dispositivo sera anulado. El dispositivo tendra que volverse a registrar para poder sincronizarlo. ,
server_config,Server Configuration,Configuracion del servidor,
import_respondents,Import respondents,Importar participantes,
import_respondent_photos,Import respondent photos,Importar fotos de los participantes,
choose_file,Choose file,Escojer archivo,
sign_up,Sign up,Registrarse,
valid_email,Please enter a valid email address.,Por favor ingrese una direccion de correo electronico valida,
permission,Permission,Permiso,
permissions,Permissions,Permisos,
add_role,Add role,Agregar rol,
confirm_copy_role,Are you sure you want to copy permissions from {0} to {1}?,Esta seguro que desea copiar los permisos de {0} a {1}?,
copy_role,Copy role,Copiar rol,
copy,Copy,Copiar,
form_reports,Form reports,Reportes de formularios,
study_reports,Study reports,Reportes de estudio,
import_locations,Import locations,Importar ubicaciones,
import_location_photos,Import location photos,Importar fotos de las ubicaciones,
start_reports,Start reports,Iniciar reportes,
download_reports,Download reports,Bajar reportes,
data_import,Import data,Importar datos,
import_failed,Failed to import data,El importe de datos ha fallado,
import_success,Imported all data successfully,Se han importado todos los datos exitosamente,
import_respondent_geos,Import respondent locations,Importar las ubicaciones de los participantes,
import_respondent_tags,Import respondent condition tags,Importar las etiquetas de condiciones de los participantes,
old_password,Old password,Contraseña antigua,
add_geo,Add location,Añadir ubicación,
move_respondent,Move respondent,Mover participante,
add_associated_respondent,Add associated respondent,Agregar participante asociado,
rename_respondent,Rename respondent,Renombrar participante,
add_skip,Add skip,Agregar salto,